[2025-10-24 23:45:53,281 : INFO : main : Starting the main function]
[2025-10-25 17:17:28,634 : INFO : main : Starting the main function]
[2025-10-25 17:25:36,971 : INFO : main : Starting the main function]
[2025-10-25 18:55:02,192 : INFO : main : Starting the main function]
[2025-10-25 18:55:02,205 : INFO : common : YAML file loaded successfully: config\config.yaml]
[2025-10-25 18:55:02,208 : INFO : common : YAML file loaded successfully: params.yaml]
[2025-10-25 18:55:02,209 : INFO : common : Directory created successfully: artifacts]
[2025-10-25 18:55:02,209 : INFO : common : Directory created successfully: artifacts/data_ingestion]
[2025-10-25 18:55:02,210 : INFO : data_ingestion : Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing to artifacts/data_ingestion/data.zip]
[2025-10-25 18:55:39,307 : INFO : data_ingestion : Data downloaded successfully to artifacts/data_ingestion/data.zip]
[2025-10-25 18:55:40,363 : INFO : data_ingestion : Extracted data to artifacts/data_ingestion]
[2025-10-25 18:55:40,364 : INFO : main : Completed the main function]
[2025-10-25 18:56:30,003 : INFO : main : Starting the main function]
[2025-10-25 18:56:30,004 : INFO : common : YAML file loaded successfully: config\config.yaml]
[2025-10-25 18:56:30,005 : INFO : common : YAML file loaded successfully: params.yaml]
[2025-10-25 18:56:30,006 : INFO : common : Directory created successfully: artifacts]
[2025-10-25 18:56:30,006 : INFO : common : Directory created successfully: artifacts/data_ingestion]
[2025-10-25 18:56:30,007 : INFO : data_ingestion : Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing to artifacts/data_ingestion/data.zip]
[2025-10-25 18:56:58,036 : INFO : data_ingestion : Data downloaded successfully to artifacts/data_ingestion/data.zip]
[2025-10-25 18:56:58,696 : INFO : data_ingestion : Extracted data to artifacts/data_ingestion]
[2025-10-25 18:56:58,697 : INFO : main : Completed the main function]
